Elevation,Slope,Aspect,Profile_curvature,Plan_Curvature,Vegetation,Lithology,Tmax,Tmin,Wind,Humidity,Solar,PrecipAcum3,PrecipAcum5,PrecipAcum7,PrecipAcum10,PrecipAcum15,PrecipAcum20,PrecipAcum30,Landslide
1371.51,6.30,317.27,-0.0066,-0.0241,1,1,27.74,20.70,0.9941,0.9226,17.62,40.57,67.84,95.16,136.38,205.99,275.32,413.05,1
1426.36,72.18,23.96,-0.0181,-0.0379,1,1,27.73,20.69,0.9955,0.9225,17.64,40.49,67.71,94.98,136.11,205.59,274.79,412.30,1
1403.07,69.13,17.65,-0.0163,-0.0478,1,1,27.73,20.69,0.9956,0.9225,17.65,40.48,67.70,94.96,136.10,205.57,274.76,412.25,1
1390.68,65.07,14.52,-0.0125,-0.0576,1,1,27.73,20.69,0.9956,0.9225,17.65,40.48,67.69,94.95,136.08,205.54,274.73,412.21,1
1369.97,24.96,310.10,-0.0035,-0.0141,1,1,27.74,20.70,0.9940,0.9226,17.62,40.58,67.86,95.19,136.41,206.03,275.38,413.14,1
1524.96,70.94,21.83,-0.0066,-0.0009,1,1,27.73,20.69,0.9955,0.9225,17.64,40.49,67.71,94.99,136.13,205.62,274.83,412.34,1
1500.54,74.02,19.36,-0.0102,-0.0139,1,1,27.73,20.69,0.9955,0.9225,17.65,40.49,67.71,94.97,136.11,205.59,274.79,412.30,1
1475.00,74.90,15.02,-0.0101,-0.0245,1,1,27.73,20.69,0.9956,0.9225,17.65,40.48,67.70,94.96,136.10,205.57,274.76,412.25,1
1455.27,74.79,12.18,-0.0099,-0.0337,1,1,27.73,20.69,0.9957,0.9225,17.65,40.48,67.69,94.95,136.08,205.54,274.73,412.20,1
1436.76,74.23,11.67,-0.0080,-0.0408,1,1,27.73,20.69,0.9958,0.9225,17.65,40.47,67.68,94.94,136.06,205.52,274.70,412.16,1
1419.62,73.09,10.76,-0.0058,-0.0488,1,1,27.73,20.69,0.9959,0.9224,17.65,40.47,67.67,94.93,136.05,205.49,274.66,412.11,1
1407.87,71.43,9.13,-0.0041,-0.0557,1,1,27.73,20.69,0.9960,0.9224,17.65,40.46,67.66,94.92,136.03,205.47,274.63,412.07,1
1572.78,68.17,10.75,0.0037,0.0234,1,1,27.73,20.69,0.9955,0.9225,17.65,40.49,67.71,94.99,136.13,205.61,274.82,412.34,1
1562.93,71.66,12.85,-0.0003,0.0201,1,1,27.73,20.69,0.9956,0.9225,17.65,40.49,67.70,94.97,136.11,205.59,274.79,412.30,1
1548.67,73.89,11.96,-0.0032,0.0107,1,1,27.73,20.69,0.9957,0.9225,17.65,40.48,67.70,94.96,136.10,205.57,274.76,412.25,1
1535.50,75.17,10.29,-0.0054,0.0003,1,1,27.73,20.69,0.9958,0.9224,17.65,40.48,67.69,94.95,136.08,205.54,274.73,412.20,1
1522.00,76.03,10.04,-0.0055,-0.0084,1,1,27.73,20.69,0.9959,0.9224,17.65,40.47,67.68,94.94,136.06,205.52,274.69,412.16,1
1506.59,76.51,9.95,-0.0038,-0.0157,1,1,27.73,20.69,0.9960,0.9224,17.65,40.47,67.67,94.93,136.05,205.49,274.66,412.11,1
1490.13,76.51,8.88,-0.0031,-0.0214,1,1,27.73,20.68,0.9960,0.9224,17.65,40.46,67.66,94.92,136.03,205.47,274.63,412.06,1
1618.91,64.97,6.87,0.0037,0.0457,1,1,27.73,20.69,0.9957,0.9225,17.65,40.49,67.70,94.97,136.11,205.59,274.79,412.29,1
1612.36,67.99,8.51,0.0026,0.0447,1,1,27.73,20.69,0.9958,0.9224,17.65,40.48,67.70,94.96,136.09,205.56,274.76,412.24,1
1604.23,70.17,8.29,0.0004,0.0398,1,1,27.73,20.69,0.9959,0.9224,17.65,40.48,67.69,94.95,136.08,205.54,274.72,412.20,1
1595.99,71.87,8.62,-0.0017,0.0328,1,1,27.73,20.69,0.9959,0.9224,17.65,40.47,67.68,94.94,136.06,205.52,274.69,412.15,1
1585.60,73.34,9.28,-0.0002,0.0265,1,1,27.73,20.68,0.9960,0.9224,17.65,40.47,67.67,94.93,136.04,205.49,274.66,412.11,1
1573.38,74.48,8.75,-0.0014,0.0194,1,1,27.73,20.68,0.9961,0.9224,17.66,40.46,67.66,94.91,136.03,205.47,274.63,412.06,1
1562.07,75.29,7.57,-0.0008,0.0137,1,1,27.73,20.68,0.9962,0.9224,17.66,40.45,67.65,94.90,136.01,205.44,274.60,412.01,1
1645.56,56.26,6.07,0.0045,0.0590,1,1,27.73,20.69,0.9959,0.9224,17.65,40.47,67.69,94.95,136.08,205.54,274.72,412.20,1
1642.52,59.77,7.03,0.0027,0.0610,1,1,27.73,20.68,0.9960,0.9224,17.65,40.47,67.68,94.94,136.06,205.51,274.69,412.15,1
1638.49,62.94,8.04,0.0025,0.0599,1,1,27.73,20.68,0.9961,0.9224,17.66,40.46,67.67,94.92,136.04,205.49,274.66,412.10,1
1633.37,65.64,7.83,0.0016,0.0579,1,1,27.73,20.68,0.9962,0.9224,17.66,40.46,67.66,94.91,136.03,205.47,274.63,412.06,1
1503.69,72.75,37.74,-0.0126,-0.0099,1,1,27.72,20.67,0.9989,0.9221,17.70,40.33,67.44,94.61,135.60,204.84,273.79,410.85,1
1459.47,72.81,32.57,-0.0157,-0.0246,1,1,27.72,20.67,0.9990,0.9221,17.70,40.32,67.43,94.60,135.58,204.81,273.76,410.81,1
1423.12,70.42,27.74,-0.0145,-0.0372,1,1,27.72,20.67,0.9991,0.9221,17.71,40.32,67.42,94.58,135.57,204.79,273.73,410.76,1
1400.07,64.70,27.75,-0.0152,-0.0484,1,1,27.72,20.67,0.9992,0.9221,17.71,40.31,67.42,94.57,135.55,204.77,273.70,410.72,1
1580.52,66.56,41.68,0.0025,0.0295,1,1,27.72,20.67,0.9989,0.9221,17.70,40.33,67.45,94.62,135.61,204.86,273.82,410.89,1
1548.50,69.23,37.85,-0.0076,0.0100,1,1,27.72,20.67,0.9990,0.9221,17.70,40.32,67.44,94.61,135.60,204.84,273.79,410.85,1
1519.40,71.03,31.38,-0.0068,-0.0026,1,1,27.72,20.67,0.9991,0.9221,17.71,40.32,67.43,94.59,135.58,204.81,273.76,410.80,1
1490.16,72.40,27.55,-0.0057,-0.0147,1,1,27.72,20.67,0.9992,0.9221,17.71,40.31,67.42,94.58,135.57,204.79,273.73,410.76,1
1454.91,72.30,28.37,-0.0079,-0.0285,1,1,27.72,20.66,0.9993,0.9221,17.71,40.31,67.41,94.57,135.55,204.77,273.70,410.72,1
1418.83,69.37,32.18,-0.0034,-0.0357,1,1,27.72,20.66,0.9993,0.9221,17.71,40.30,67.41,94.56,135.54,204.74,273.67,410.67,1
1613.80,59.43,40.94,0.0045,0.0358,1,1,27.72,20.67,0.9990,0.9221,17.70,40.33,67.45,94.62,135.61,204.86,273.82,410.89,1
1584.30,64.75,36.10,0.0050,0.0347,1,1,27.72,20.67,0.9991,0.9221,17.71,40.32,67.44,94.60,135.60,204.83,273.79,410.85,1
1559.82,66.77,30.91,0.0039,0.0223,1,1,27.72,20.67,0.9992,0.9221,17.71,40.32,67.43,94.59,135.58,204.81,273.76,410.80,1
1539.16,68.46,30.19,0.0013,0.0061,1,1,27.72,20.66,0.9993,0.9221,17.71,40.31,67.42,94.58,135.57,204.79,273.72,410.76,1
1514.85,70.62,31.05,0.0030,-0.0076,1,1,27.72,20.66,0.9993,0.9221,17.71,40.31,67.41,94.57,135.55,204.76,273.69,410.71,1
1481.10,72.42,34.05,0.0051,-0.0204,1,1,27.72,20.66,0.9994,0.9221,17.71,40.30,67.41,94.56,135.53,204.74,273.66,410.67,1
1631.93,49.21,37.20,0.0025,0.0281,1,1,27.72,20.67,0.9991,0.9221,17.71,40.33,67.44,94.61,135.61,204.85,273.81,410.89,1
1618.93,57.18,33.25,0.0085,0.0381,1,1,27.72,20.67,0.9992,0.9221,17.71,40.32,67.44,94.60,135.60,204.83,273.78,410.84,1
1601.18,62.26,30.77,0.0130,0.0414,1,1,27.72,20.66,0.9992,0.9221,17.71,40.32,67.43,94.59,135.58,204.81,273.75,410.80,1
1576.02,64.76,33.75,0.0121,0.0308,1,1,27.72,20.66,0.9993,0.9221,17.71,40.31,67.42,94.58,135.56,204.79,273.72,410.75,1
1551.74,65.60,36.02,0.0166,0.0184,1,1,27.72,20.66,0.9994,0.9221,17.71,40.31,67.41,94.57,135.55,204.76,273.69,410.71,1
1648.53,41.14,32.18,0.0045,0.0224,1,1,27.72,20.67,0.9992,0.9221,17.71,40.33,67.44,94.61,135.61,204.85,273.81,410.88,1
1636.60,46.62,30.91,0.0025,0.0228,1,1,27.72,20.66,0.9992,0.9221,17.71,40.32,67.44,94.60,135.59,204.83,273.78,410.84,1
1628.00,53.19,33.26,0.0101,0.0324,1,1,27.72,20.66,0.9993,0.9221,17.71,40.32,67.43,94.59,135.58,204.81,273.75,410.79,1
1611.92,59.74,38.05,0.0212,0.0423,1,1,27.72,20.66,0.9994,0.9221,17.71,40.31,67.42,94.58,135.56,204.78,273.72,410.75,1
1583.32,62.85,40.30,0.0250,0.0359,1,1,27.72,20.66,0.9995,0.9221,17.71,40.31,67.41,94.57,135.55,204.76,273.69,410.70,1
1655.22,34.99,33.23,0.0057,0.0202,1,1,27.72,20.66,0.9993,0.9221,17.71,40.32,67.43,94.60,135.59,204.83,273.78,410.83,1
1645.34,42.03,39.47,0.0095,0.0222,1,1,27.72,20.66,0.9994,0.9221,17.71,40.32,67.43,94.59,135.58,204.80,273.75,410.79,1
1630.23,49.93,42.49,0.0153,0.0290,1,1,27.72,20.66,0.9995,0.9221,17.71,40.31,67.42,94.58,135.56,204.78,273.72,410.75,1
1615.12,57.92,42.18,0.0295,0.0440,1,1,27.72,20.66,0.9996,0.9220,17.71,40.31,67.41,94.57,135.54,204.76,273.69,410.70,1
1585.91,62.92,46.25,0.0282,0.0386,1,1,27.72,20.66,0.9997,0.9220,17.72,40.30,67.40,94.56,135.53,204.74,273.65,410.66,1
1656.53,33.70,42.73,0.0131,0.0218,1,1,27.72,20.66,0.9995,0.9221,17.71,40.32,67.43,94.59,135.57,204.80,273.74,410.79,1
1642.87,41.15,40.85,0.0108,0.0191,1,1,27.72,20.66,0.9996,0.9220,17.71,40.31,67.42,94.58,135.56,204.78,273.71,410.74,1
1492.99,34.16,93.90,-0.0006,-0.0227,1,1,27.70,20.62,1.0066,0.9212,17.84,40.10,67.07,94.10,134.90,203.82,272.45,408.92,1
1474.32,28.47,87.04,-0.0003,-0.0064,1,1,27.70,20.62,1.0067,0.9212,17.84,40.09,67.06,94.09,134.88,203.80,272.42,408.88,1
1472.20,11.38,301.42,0.0000,-0.0020,1,1,27.70,20.61,1.0068,0.9212,17.85,40.09,67.05,94.08,134.87,203.78,272.39,408.83,1
1483.20,32.68,283.28,-0.0005,-0.0116,1,1,27.70,20.61,1.0069,0.9211,17.85,40.08,67.04,94.06,134.85,203.76,272.36,408.79,1
1499.01,37.81,92.56,-0.0004,-0.0349,1,1,27.70,20.62,1.0066,0.9212,17.84,40.10,67.07,94.11,134.91,203.84,272.47,408.95,1
1493.06,30.36,86.50,-0.0004,-0.0206,1,1,27.70,20.62,1.0067,0.9212,17.84,40.10,67.07,94.09,134.89,203.82,272.44,408.91,1
1474.60,27.22,80.05,-0.0003,-0.0050,1,1,27.70,20.61,1.0068,0.9211,17.85,40.09,67.06,94.08,134.88,203.80,272.41,408.87,1
1472.62,10.44,286.32,0.0000,-0.0023,1,1,27.70,20.61,1.0069,0.9211,17.85,40.09,67.05,94.07,134.87,203.78,272.38,408.83,1
1483.53,31.45,270.16,0.0003,-0.0115,1,1,27.70,20.61,1.0070,0.9211,17.85,40.08,67.04,94.06,134.85,203.76,272.35,408.78,1
1497.30,40.59,274.97,0.0000,-0.0213,1,1,27.70,20.61,1.0071,0.9211,17.85,40.08,67.03,94.05,134.84,203.73,272.33,408.74,1
1516.80,45.26,279.90,0.0002,-0.0430,1,1,27.70,20.61,1.0072,0.9211,17.85,40.07,67.03,94.04,134.82,203.71,272.30,408.70,1
